Player,PayRnk,pay,college,team,pos,age,games,point,ThrP,ThrPA,eFG,FreeThrow,rebound,assist
Kentavious Caldwell-Pope,53,17745894,New York University,LAL,SG,24,74,13.2,2.1,5.6,0.526,0.789,5.2,2.2
Luol Deng,54,17190000,Murray State University,LAL,SF,32,1,5.5,0,0,0.5,0,0,1
Evan Turner,55,17131148,Syracuse University,POR,SF,29,79,9.9,0.5,1.7,0.484,0.85,3.1,2.2
Goran Dragic,56,17000450,DePaul University,MIA,PG,31,75,16.6,1.5,4,0.502,0.801,4.1,4.8
Evan Fournier,57,17000000,Truman State University,ORL,SF,25,57,15.5,2.2,5.9,0.538,0.867,3.2,2.9
Bismack Biyombo,58,17000000,University of Utah,ORL,C,25,82,14.1,0,0,0.52,0.65,5.7,0.8
Kent Bazemore,59,16910113,Sam Houston State University,ATL,SG,28,65,14.5,1.7,4.2,0.5,0.796,3.8,3.5
Robert Covington,60,16698103,Western Kentucky University,PHI,SF,27,80,12.9,2.5,6.9,0.534,0.853,5.4,2
Ian Mahinmi,61,16661641,Creighton University,WAS,C,31,77,12.2,0,0,0.556,0.703,4.1,0.7
Tim Hardaway,62,16500000,University of Washington,NYK,SG,25,57,14.4,2.3,7.2,0.496,0.816,3.9,2.7
Draymond Green,63,16400000,Loyola Marymount University,GSW,PF,27,70,16.1,1.1,3.7,0.516,0.775,7.6,7.3
Tristan Thompson,64,16400000,University of Notre Dame,CLE,C,26,53,13.6,0,0,0.562,0.544,6.6,0.6
Reggie Jackson,65,16000000,Georgetown University,DET,PG,27,45,15.9,1.2,3.8,0.471,0.836,2.8,5.3
Pau Gasol,66,16000000,University of Minnesota,SAS,C,37,77,18.9,0.6,1.6,0.492,0.756,8,3.1
Tobias Harris,67,16000000,Ohio State University,LAC,PF,25,80,17.1,2.3,5.6,0.535,0.829,5.5,2.4
Dwyane Wade,68,15550000,University of Kentucky,CHI,SG,36,67,15,0.5,1.7,0.462,0.714,3.8,3.4
Dennis Schroder,69,15500000,Saint Joseph's University,ATL,PG,24,67,17.3,1.1,3.9,0.469,0.849,3.1,6.2
Jonas Valanciunas,70,15460675,North Carolina State University,TOR,C,25,77,22.5,0.4,1,0.59,0.806,8.6,1.1
Tony Parker,71,15453126,West Texas A&M University,SAS,PG,35,55,12.7,0.2,0.7,0.472,0.705,1.7,3.5
Timofey Mozgov,72,15280000,Santa Clara University,BRK,C,31,31,12.3,0.1,0.6,0.581,0.767,3.2,0.4
Andre Iguodala,73,14814815,Franklin College,GSW,SF,34,64,11.2,0.5,1.8,0.514,0.632,3.8,3.3
DeMarre Carroll,74,14800000,University of Southern California,BRK,SF,31,73,14.3,2,5.4,0.506,0.764,6.6,2
Thaddeus Young,75,14796348,University of Texas at Austin,IND,PF,29,81,14.8,0.7,2.2,0.521,0.598,6.3,1.9
Eric Bledsoe,76,14500000,Oklahoma State University,MIL,PG,28,74,19.7,1.7,4.9,0.536,0.795,3.8,5
Ricky Rubio,77,14275000,Oklahoma State University,UTA,PG,27,77,15.4,1.2,3.5,0.476,0.866,4.6,5.3
Joe Ingles,78,14136364,University of Notre Dame,UTA,SF,30,82,14.4,2.5,5.7,0.609,0.795,4.2,4.8
